"FileName","FilePath","RelativePath","FileSize","ActualFormat","IsFakePng","HexHeader"
"servo3.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\servo3.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\servo3.png","31224","WebP","True","52 49 46 46 F0 79 00 00 57 45 42 50 56 50 38 4C"
"slide_switch1.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\slide_switch1.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\slide_switch1.png","16326","WebP","True","52 49 46 46 BE 3F 00 00 57 45 42 50 56 50 38 4C"
"slide_switch2.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\slide_switch2.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\slide_switch2.png","23036","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"slide_switch3.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\slide_switch3.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\slide_switch3.png","14046","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"speaker_pic.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\speaker_pic.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\speaker_pic.png","291759","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"symbol-zener-diode.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\symbol-zener-diode.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\symbol-zener-diode.png","21477","JPEG","True","FF D8 FF E1 0B D2 45 78 69 66 00 00 4D 4D 00 2A"
"symbol_rectifier_diode.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\symbol_rectifier_diode.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\symbol_rectifier_diode.png","16889","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"ta6586_1.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\ta6586_1.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\ta6586_1.png","30056","WebP","True","52 49 46 46 60 75 00 00 57 45 42 50 56 50 38 4C"
"ta6586_2.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\ta6586_2.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\ta6586_2.png","35458","WebP","True","52 49 46 46 7A 8A 00 00 57 45 42 50 56 50 38 4C"
"ta6586_3.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\ta6586_3.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\ta6586_3.png","14146","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"thermistor.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\thermistor.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\thermistor.png","35918","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"thermistor_symbol.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\thermistor_symbol.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\thermistor_symbol.png","30163","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"tilt_switch.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\tilt_switch.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\tilt_switch.png","22992","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
"tilt_symbol.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\tilt_symbol.png","I:\Github\Ultimate-_tarter_Kit_for_Pico_W_PDF\Ultimate-Starter-Kit-for-Pico-W\docs\source\components_Kit\img\tilt_symbol.png","150406","PNG","False","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52"
